abbreviation,full_text
w / o,without
w /,with
s / o,shoutout
@,at
2moro,tomorrow
2nite,tonight
ab,about
abt,about
atm,at the moment
b / c,because
cos,because
cuz,because
b,be
b4,before
bfn,bye for now
bck,back
btw,by the way
chk,check
cld,could
da,the
deets,details
dm,direct message
em,them
eml,email
pm,private message
jk,just kidding
pls,please
plz,please
f2f,face to face
fab,fabulous
fomo,fear of missing out
ftw,for the win
icymi,in case you missed it
idk,i don’t know
imo,in my opinion
imho,in my humble opinion
kk,okay
nt,not
n,and
r,are
smh,shaking my head
l8,late
l8r,later
l8er,later
luv,love
tbh,to be honest
u,you
ur,your
woz,was
wtv,whatever
yoyo,you're on your own
gna,gonna
gnight,good night
bday,birthday
da,the
ily,i love you
